,,,,,,,,,,,,,,,,,,,,,,
,"Below target quantity",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"006",,,,"RETR THOMPSON BLD GEN 6",,,,,
,5,,6,,5,,,-1,,,"42126LC",,,,,,"Clamp Clip on Cam Latch Joint",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN028",,,,,,,,,,,"S/N:",,"002",,,,"DR EVANS ABDOMINAL SPECIALS 2",,,,,
,25,,2,,1,,,-1,,,"CH06159",,,,,,"Castros Non-Locking",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"003",,,,"DR EVANS ABDOMINAL SPECIALS 3",,,,,
,15,,1,,0,,,-1,,,"100-297",,,,,,"Reynolds Scissors 7"" Cvd Narrow Tip",,,,,
,16,,1,,0,,,-1,,,"640245",,,,,,"Scissors Potts Angled  7'",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN029",,,,,,,,,,,"S/N:",,"001",,,,"DR EVANS NECK SPECIALS 1",,,,,
,19,,1,,0,,,-1,,,"CH2052",,,,,,"Cooley Cardio My  Mayo Scissors 7-1/4"" Cvd",,,,,
,39,,2,,1,,,-1,,,"B3014-1",,,,,,"Forceps Bipolar",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN030",,,,,,,,,,,"S/N:",,"001",,,,"DR GAMBLIN ABDOMINAL SPECIALS 1",,,,,
,26,,1,,0,,,-1,,,"FB161R",,,,,,"Debakey Dilator 7-1/2"" Mall 1mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"002",,,,"DR GAMBLIN ABDOMINAL SPECIALS 2",,,,,
,14,,1,,0,,,-1,,,"34-2221",,,,,,"Scissors Jameson  Cvd 7""",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN031",,,,,,,,,,,"S/N:",,"001",,,,"CLAMP PROFUNDA SM 1",,,,,
,5,,2,,1,,,-1,,,"BC181R",,,,,,"Scissor    Tenotomy(8')",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN037",,,,,,,,,,,"S/N:",,"002",,,,"BREAST SPECIALS 2",,,,,
,26,,2,,1,,,-1,,,"6-134",,,,,,"Forceps Martin 6""",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"005",,,,"BREAST SPECIALS 5",,,,,
,16,,1,,0,,,-1,,,"400-946",,,,,,"Scissors Rees Facelift  Cvd  6-3/4""",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN038",,,,,,,,,,,"S/N:",,"004",,,,"SMALL PROCEDURE PAN GENERAL 4",,,,,
,12,,1,,0,,,-1,,,"BC569R",,,,,,"Mayo Noble Scissors 6-3/4"" Cvd Broad Bld",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BTRA002",,,,,,,,,,,"S/N:",,"003",,,,"MAJOR VASCULAR/TRAUMA 3",,,,,
,16,,2,,1,,,-1,,,"37-1141",,,,,,"Clamp Debakey Aorta  10-1/2"" Cvd 85mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"CVICU002",,,,,,,,,,,"S/N:",,"001",,,,"CHEST SET CVICU 1",,,,,
,8,,2,,1,,,-1,,,"BF122R",,,,,,"Clamp Ring Forceps",,,,,
,16,,2,,0,,,-2,,,"510415",,,,,,"Crile Wood Needle Holder Tc 9""",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"ECANCTR010",,,,,,,,,,,"S/N:",,"001",,,,"TRACH EMERGENCY HOPE 1",,,,,
,8,,1,,0,,,-1,,,"26-3861",,,,,,"Needle Holder Castro",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"ECLI015",,,,,,,,,,,"S/N:",,"002",,,,"STEREOTACTIC HEAD FRAME GAMMA KNIFE 2",,,,,
,17,,2,,0,,,-2,,,"60136-01",,,,,,"Ear Bars",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"ECLI037",,,,,,,,,,,"S/N:",,"001",,,,"I R STRYKER ASNIS 6.5/8.0 SS ""C"" I R 1",,,,,
,25,,6,,5,,,-1,,,"390016",,,,,,"Washer 13mm",,,,,
,79,,2,,1,,,-1,,,"326720",,,,,,"Screw Partially Threaded 8.0mm 25 x 120mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EDERMCL002",,,,,,,,,,,"S/N:",,"001",,,,"FACE KIT DERM CLINIC 1",,,,,
,2,,1,,0,,,-1,,,"6-120",,,,,,"Adson Tissue Forceps 4-3/4"" W/th Del",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EED004",,,,,,,,,,,"S/N:",,"001",,,,"THORACOTOMY TRAY 1",,,,,
,11,,1,,0,,,-1,,,"23-8538",,,,,,"Clamp Satinsky",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EGU004",,,,,,,,,,,"S/N:",,"003",,,,"MAJOR GU PAN 2 3",,,,,
,33,,2,,1,,,-1,,,"OM671R",,,,,,"Yankauer Suction Tube 11-1/4"" 4.8mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EGU007",,,,,,,,,,,"S/N:",,"001",,,,"MINOR GU PAN 1",,,,,
,34,,1,,0,,,-1,,,"BC258R",,,,,,"Baby Metz Scissors Tc 5-3/4"" Str Del B/b",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"002",,,,"MINOR GU PAN 2",,,,,
,16,,2,,0,,,-2,,,"BJ103R",,,,,,"Gemini Clamp 8""",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"003",,,,"MINOR GU PAN 3",,,,,
,19,,2,,1,,,-1,,,"BM065R",,,,,,"Needle Holder Mayo-Hegar 6'",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EGU008",,,,,,,,,,,"S/N:",,"002",,,,"PROSTATECTOMY 2",,,,,
,4,,1,,0,,,-1,,,"BT751R",,,,,,"Retractor Malleable 1/2""",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EGU022",,,,,,,,,,,"S/N:",,"001",,,,"JEWITTS SOUNDS STRAIGHT 1",,,,,
,4,,1,,0,,,-1,,,"GU 4060-012",,,,,,"Jewitts Sounds 12 Fr.",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"002",,,,"JEWITTS SOUNDS STRAIGHT 2",,,,,
,11,,1,,0,,,-1,,,"GU 4060-026",,,,,,"Jewitts Sounds 26 Fr.",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EGU029",,,,,,,,,,,"S/N:",,"002",,,,"LIGASURE APPLIERS 2",,,,,
,5,,1,,0,,,-1,,,"LS2110",,,,,,"Right Angle",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EGYN006",,,,,,,,,,,"S/N:",,"001",,,,"D&C 1",,,,,
,10,,1,,0,,,-1,,,"EO085R",,,,,,"Bozemann Douglas Forceps 10-1/4"" S-Cvd",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"006",,,,"D&C 6",,,,,
,52,,1,,0,,,-1,,,"212662",,,,,,"Hank Dilator 11/12fr",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EGYN011",,,,,,,,,,,"S/N:",,"002",,,,"DILATOR SINGLE END 1/2 SZ/GYN 2",,,,,
,2,,1,,0,,,-1,,,"R28-710",,,,,,"1mm   Single - Ended Dilator",,,,,
,4,,1,,0,,,-1,,,"R28-711",,,,,,"2mm   Single - Ended Dilator",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EGYN033",,,,,,,,,,,"S/N:",,"002",,,,"RETR BOOKWALTER AESCULAP PAN 1/GYN 2",,,,,
,11,,3,,2,,,-1,,,"MB534",,,,,,"Balfour Bladder Blade 3x2-1/2""",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EGYN046",,,,,,,,,,,"S/N:",,"001",,,,"TAH PAN 1 1",,,,,
,30,,1,,0,,,-1,,,"BC279R",,,,,,"Nelson Metz Scissors Tc 10-1/4"" Cvd",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"005",,,,"TAH PAN 1 5",,,,,
,25,,1,,0,,,-1,,,"BC565R",,,,,,"Mayo Scissors 8-1/2"" Cvd",,,,,
,29,,1,,0,,,-1,,,"BC559R",,,,,,"Scissors Mayo TC 9"" Cvd Blvd Bld",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"006",,,,"TAH PAN 1 6",,,,,
,35,,2,,1,,,-1,,,"BM078R",,,,,,"Needle Holder Hegar TC 9-3/4"" Hvy Serr",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EGYN049",,,,,,,,,,,"S/N:",,"005",,,,"TVH PAN 1 5",,,,,
,12,,2,,1,,,-1,,,"285-105",,,,,,"Adson Clamp 7""  Del",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"006",,,,"TVH PAN 1 6",,,,,
,35,,1,,0,,,-1,,,"BC279R",,,,,,"Nelson Metz Scissors Tc 10-1/4"" Cvd",,,,,
,46,,2,,1,,,-1,,,"BD561R",,,,,,"Forceps Tissue  8"" W/th",,,,,
,47,,2,,1,,,-1,,,"BD562R",,,,,,"Standard Tissue Forceps 10"" W/th",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EGYN050",,,,,,,,,,,"S/N:",,"004",,,,"TVH PAN 2 4",,,,,
,4,,3,,2,,,-1,,,"GL350",,,,,,"Heaney Simon Retractor 10-1/2"" 115x25mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EGYN077",,,,,,,,,,,"S/N:",,"001",,,,"MINOR GYN 1",,,,,
,21,,1,,0,,,-1,,,"EF314C",,,,,,"Female Catheter 6-1/4"" Metal 14fr",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EGYN079",,,,,,,,,,,"S/N:",,"001",,,,"RETR BOOKWALTER CODMAN PAN 1/GYN 1",,,,,
,13,,8,,7,,,-1,,,"C50-4580",,,,,,"Tilt Ratchet Mechanism",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EL&D003",,,,,,,,,,,"S/N:",,"001",,,,"D&C INST L & D 1",,,,,
,22,,1,,0,,,-1,,,"ER101R",,,,,,"Simon Uterine Scoop 9-1/2"" 6.8mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EL&D005",,,,,,,,,,,"S/N:",,"002",,,,"HYSTERECTOMY RETRACTOR PAN 2 2",,,,,
,14,,2,,1,,,-1,,,"BT552R",,,,,,"Retr Harrington Large",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EL&D011",,,,,,,,,,,"S/N:",,"012",,,,"VAGINAL DELIVERY SET-UP 12",,,,,
,8,,1,,0,,,-1,,,"BC324R",,,,,,"Suture Scissors 5-3/4"" Str S/b",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"017",,,,"VAGINAL DELIVERY SET-UP 17",,,,,
,14,,2,,1,,,-1,,,"EL577R",,,,,,"Jackson Vag Speculum 7"" Concvd 76x38mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"018",,,,"VAGINAL DELIVERY SET-UP 18",,,,,
,14,,2,,1,,,-1,,,"EL577R",,,,,,"Jackson Vag Speculum 7"" Concvd 76x38mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"019",,,,"VAGINAL DELIVERY SET-UP 19",,,,,
,15,,1,,0,,,-1,,,"BD559R",,,,,,"Forceps  Tissue With Teeth",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EORT005",,,,,,,,,,,"S/N:",,"001",,,,"A/O 3.5/4.5 EXTRA LONG SCREW SET 1",,,,,
,20,,4,,3,,,-1,,,"204.685",,,,,,"Screw 85mm",,,,,1
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"002",,,,"A/O 3.5/4.5 EXTRA LONG SCREW SET 2",,,,,
,21,,4,,2,,,-2,,,"204.690",,,,,,"Screw 90mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EORT006",,,,,,,,,,,"S/N:",,"001",,,,"A/O 3.5MM CANNULATED SCREW SET 1",,,,,
,19,,1,,0,,,-1,,,"319.38",,,,,,"Stylet Cleaning 1.25mm",,,,,
,55,,2,,1,,,-1,,,"205.032",,,,,,"Screw 32mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EORT007",,,,,,,,,,,"S/N:",,"001",,,,"A/O 4.0MM CANNULATED SCREW SET 1",,,,,
,26,,3,,2,,,-1,,,"207.626",,,,,,"Screw 26mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"002",,,,"A/O 4.0MM CANNULATED SCREW SET 2",,,,,
,27,,3,,2,,,-1,,,"207.628",,,,,,"Screw 28mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EORT008",,,,,,,,,,,"S/N:",,"001",,,,"A/O 4.5MM CANNULATED SCREW SET 1",,,,,
,54,,2,,1,,,-1,,,"214.730",,,,,,"Screw 30mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EORT014",,,,,,,,,,,"S/N:",,"001",,,,"A/O 7.0MM CANNULATED SCREW SET 1",,,,,
,6,,1,,0,,,-1,,,"319.31",,,,,,"Trocar 2.0mm",,,,,
,20,,1,,0,,,-1,,,"314.19",,,,,,"Screwdriver Large Cannulated Hex",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EORT019",,,,,,,,,,,"S/N:",,"001",,,,"A/O 7.3MM TI CANNULATED SCREW SET 1",,,,,
,47,,2,,1,,,-1,,,"408.840",,,,,,"Screw 40mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"002",,,,"A/O 7.3MM TI CANNULATED SCREW SET 2",,,,,
,35,,2,,0,,,-2,,,"409.890",,,,,,"Screw 90mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EORT022",,,,,,,,,,,"S/N:",,"001",,,,"DR RAASCH'S A/O 4.5 NON TAPPING CORTICAL SCREWS 1",,,,,
,10,,4,,3,,,-1,,,"414.032",,,,,,"Screw Cortical 32mm Ti",,,,,
,17,,4,,3,,,-1,,,"414.046",,,,,,"Screw Cortical 46mm Ti",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EORT027",,,,,,,,,,,"S/N:",,"001",,,,"A/O BROKEN SCREW REMOVAL 1",,,,,
,16,,1,,0,,,-1,,,"309.530",,,,,,"Extraction Screw Conical For 4.5 Cart  6.5 Canc  4.5 & 7.0 Cann",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,19,,1,,0,,,-1,,,"387.34",,,,,,"Extraction Screw Conical",,,,,
,33,,1,,0,,,-1,,,"311.44",,,,,,"T Handle  Quick Coupling",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EORT028",,,,,,,,,,,"S/N:",,"001",,,,"A/O CABLE SYSTEM 1",,,,,
,19,,1,,0,,,-1,,,"391.201",,,,,,"Cable Tensioner",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"002",,,,"A/O CABLE SYSTEM 2",,,,,
,9,,1,,0,,,-1,,,"391.201",,,,,,"Cable Tensioner",,,,,
,,,,,,,,,,,,,,,,,,,,,,
