"Below target quantity",,,,,,
"Pos","Tgt.","Act.","No.","Item No.","Name","Repair"
59,5,4,-1,"202.214","Screws 14mm",
94,1,0,-1,"02.104.026","Plate LCP Extra Articular Distal Humerus 3.5mm 6 Hole 158mm Left",
"EORT550","S/N:","001","A/O 1.5MM/2.0MM MODULAR HAND SYSTEM SS ""C""1",,,
36,4,3,-1,"200.818","Cort Screw 1.5x18mm Self Tap",
54,2,1,-1,"310.141","Drill Bit 1.5mm",
"EORT560","S/N:","001","VENTURE ANTERIOR CERVICAL PLATE SYSTEM ""C"" 1",,,
11,3,2,-1,"9790907","Universal Handle (2 in bottom of pan)",
51,1,0,-1,"9790070","Plate Ant Cerv Assy 70mm",
70,8,4,-4,"9790317","Screw Self Tap Variable 17x4.0mm",
75,4,3,-1,"9795313","Screw Self Tap Variable 13x4.5mm",
76,4,2,-2,"9795315","Screw Self Tap Variable 15x4.5mm",
"EORT567","S/N:","001","A/O LATERAL ENTRY FEMORAL NAIL RECON ""C"" 1",,,
8,1,0,-1,"03.010.112","Holding Sleeve",
"EORT572","S/N:","001","GMRS FEMORAL REPLACEMENT PAN 1A ""C""1",,,
11,1,0,-1,"6496-2-133","3"" Trial Bumper",
"EORT584","S/N:","002","DEPUY COMBO PINNACLE SCREW INST/GRATER 36-62  ""C"" 2",,,
17,2,1,-1,"227430500","30mm",
"EORT604","S/N:","001","TSLP SYNTHES SPINE ""C"" 1",,,
42,6,5,-1,"389.802","Threaded Drill Guide",
"EORT609","S/N:","001","SYNTHES SPINE SYNMESH LUMBAR IMPLANTS ONLY  ""C"" 1",,,
