,,,,,,,,,,,,,,,,,,,,,,
,10,,1,,0,,,-1,,,"180-252",,,,,,"Director 5-3/4"" Str Grvd",,,,,
,19,,1,,0,,,-1,,,"734200",,,,,,"Gaylor Biopsy Punch 9-1/4"" 7.5mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN012",,,,,,,,,,,"S/N:",,"003",,,,"RETR UPPER HAND 3",,,,,
,2,,2,,1,,,-1,,,"166000",,,,,,"Polyclamp",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN014",,,,,,,,,,,"S/N:",,"003",,,,"RECTAL FISTULA GEN 3",,,,,
,2,,2,,1,,,-1,,,"SU760",,,,,,"Buie Fistula Probe 5-3/8 Lt",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN018",,,,,,,,,,,"S/N:",,"001",,,,"TRACH GEN 1",,,,,
,35,,2,,1,,,-1,,,"070116",,,,,,"Retractor Jackson Tracheal Dbl End *",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"005",,,,"TRACH GEN 5",,,,,
,40,,2,,1,,,-1,,,"164865",,,,,,"Retractor Vein 9'",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN028",,,,,,,,,,,"S/N:",,"003",,,,"DR EVANS ABDOMINAL SPECIALS 3",,,,,
,29,,2,,0,,,-2,,,"BD230R",,,,,,"Gerald Forceps 9"" Str Del",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN030",,,,,,,,,,,"S/N:",,"001",,,,"DR GAMBLIN ABDOMINAL SPECIALS 1",,,,,
,19,,2,,0,,,-2,,,"600-455",,,,,,"S-Retractor 1/4""",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN031",,,,,,,,,,,"S/N:",,"002",,,,"CLAMP PROFUNDA SM 2",,,,,
,5,,2,,1,,,-1,,,"BC181R",,,,,,"Scissor    Tenotomy(8')",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN038",,,,,,,,,,,"S/N:",,"001",,,,"SMALL PROCEDURE PAN GENERAL 1",,,,,
,24,,2,,0,,,-2,,,"600-455",,,,,,"S-Retractor 1/4""",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"003",,,,"SMALL PROCEDURE PAN GENERAL 3",,,,,
,11,,1,,0,,,-1,,,"BC569R",,,,,,"Scissors Mayo Noble  6-3/4"" Cvd Broad Bld",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BTRA001",,,,,,,,,,,"S/N:",,"002",,,,"TRACH TRAUMA  2",,,,,
,25,,2,,1,,,-1,,,"BB073R",,,,,,"Handles Knife #3",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BTRA002",,,,,,,,,,,"S/N:",,"003",,,,"MAJOR VASCULAR/TRAUMA 3",,,,,
,16,,2,,1,,,-1,,,"37-1141",,,,,,"Clamp Debakey Aorta  10-1/2"" Cvd 85mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"CVICU008",,,,,,,,,,,"S/N:",,"002",,,,"QUICK ACCESS 2",,,,,
,6,,2,,1,,,-1,,,"XG006R",,,,,,"Forceps Russian Tissue 10""",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"CVICU017",,,,,,,,,,,"S/N:",,"003",,,,"CHEST/FEMORAL ACCESS 3",,,,,
,14,,2,,1,,,-1,,,"BM035R",,,,,,"Debakey Needle Holder Tc 7"" Del Serr",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"ECANCTR010",,,,,,,,,,,"S/N:",,"001",,,,"TRACH EMERGENCY HOPE 1",,,,,
,8,,1,,0,,,-1,,,"26-3861",,,,,,"Needle Holder Castro",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"ECLI002",,,,,,,,,,,"S/N:",,"006",,,,"PACEMAKER IMPLANT 6",,,,,
,19,,2,,1,,,-1,,,"FB402R",,,,,,"Forceps Debakey 8"" 2mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"ECLI008",,,,,,,,,,,"S/N:",,"002",,,,"VULVAR BIOPSY OB/GYN CLINIC 2",,,,,
,7,,1,,0,,,-1,,,"BC324R",,,,,,"Suture Scissors 5-3/4"" Str S/b",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"ECLI015",,,,,,,,,,,"S/N:",,"001",,,,"STEREOTACTIC HEAD FRAME GAMMA KNIFE 1",,,,,
,10,,6,,5,,,-1,,,"1003902",,,,,,"Screws Titanium for Posts 5 x 19",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"002",,,,"STEREOTACTIC HEAD FRAME GAMMA KNIFE 2",,,,,
,11,,4,,3,,,-1,,,"1006473",,,,,,"Screw Front Piece Titanium M 4 x 10",,,,,
,17,,2,,0,,,-2,,,"60136-01",,,,,,"Ear Bars",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"ECLI018",,,,,,,,,,,"S/N:",,"001",,,,"HYSTEROSCOPY SET OB/GYN CLINIC 1",,,,,
,3,,1,,0,,,-1,,,"26159UHW",,,,,,"Forceps Semi-Rigid Biopsy Grasping W/Double Action Jaws",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"ECLI037",,,,,,,,,,,"S/N:",,"001",,,,"I R STRYKER ASNIS 6.5/8.0 SS ""C"" I R 1",,,,,
,25,,6,,5,,,-1,,,"390016",,,,,,"Washer 13mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EDERMCL001",,,,,,,,,,,"S/N:",,"002",,,,"EXCISION KIT DERM CLINIC 2",,,,,
,5,,1,,0,,,-1,,,"7-8",,,,,,"Halstead Mosquito Clamp 5"" Str Del",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EDERMCL002",,,,,,,,,,,"S/N:",,"001",,,,"FACE KIT DERM CLINIC 1",,,,,
,2,,1,,0,,,-1,,,"6-120",,,,,,"Adson Tissue Forceps 4-3/4"" W/th Del",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"002",,,,"FACE KIT DERM CLINIC 2",,,,,
,6,,1,,0,,,-1,,,"105-1107",,,,,,"Crile Cvd",,,,,
,10,,1,,0,,,-1,,,"105-673SC",,,,,,"Sc Gradle Scissors 3-3/4"" S/s",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EED005",,,,,,,,,,,"S/N:",,"001",,,,"E.D. FLEXIBLE VIDEO RHINO LARYNGOSCOPE",,,,,
,4,,1,,0,,,-1,,,"1-8401YZ",,,,,,"Black Cap Storz",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EGU003",,,,,,,,,,,"S/N:",,"003",,,,"MAJOR GU PAN 1 3",,,,,
,19,,2,,0,,,-2,,,"BH201R",,,,,,"Clamp Adson Artery",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EGU022",,,,,,,,,,,"S/N:",,"001",,,,"JEWITTS SOUNDS STRAIGHT 1",,,,,
,4,,1,,0,,,-1,,,"GU 4060-012",,,,,,"Jewitts Sounds 12 Fr.",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"002",,,,"JEWITTS SOUNDS STRAIGHT 2",,,,,
,11,,1,,0,,,-1,,,"GU 4060-026",,,,,,"Jewitts Sounds 26 Fr.",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EGYN006",,,,,,,,,,,"S/N:",,"001",,,,"D&C 1",,,,,
,52,,1,,0,,,-1,,,"212677",,,,,,"Hegar Dilator 7/8mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EGYN030",,,,,,,,,,,"S/N:",,"002",,,,"ONCOLOGY/GYN 2",,,,,
,24,,2,,1,,,-1,,,"BT207R",,,,,,"Vein Retractors 9-1/4"" 11mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EGYN044",,,,,,,,,,,"S/N:",,"006",,,,"SCOPE CYSTO CIRCON 6",,,,,
,9,,1,,0,,,-1,,,"E151",,,,,,"Albarran Deflecting Bridge  Dbl Horn",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EGYN046",,,,,,,,,,,"S/N:",,"007",,,,"TAH PAN 1 7",,,,,
,44,,2,,1,,,-1,,,"BD562R",,,,,,"Standard Tissue Forceps 10"" W/th",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EGYN049",,,,,,,,,,,"S/N:",,"002",,,,"TVH PAN 1 2",,,,,
,18,,4,,3,,,-1,,,"GL3100",,,,,,"Heaney Hysterectomy Forceps 8-1/4"" Cvd Biased Serr",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"004",,,,"TVH PAN 1 4",,,,,
,3,,1,,0,,,-1,,,"020654",,,,,,"Towel Clip Plastic ( blue or orange) not disposible",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EGYN079",,,,,,,,,,,"S/N:",,"001",,,,"RETR BOOKWALTER CODMAN PAN 1/GYN 1",,,,,
,13,,8,,7,,,-1,,,"C50-4580",,,,,,"Tilt Ratchet Mechanism",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"002",,,,"RETR BOOKWALTER CODMAN PAN 1/GYN 2",,,,,
,13,,8,,7,,,-1,,,"C50-4580",,,,,,"Tilt Ratchet Mechanism",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EL&D002",,,,,,,,,,,"S/N:",,"003",,,,"C-SECTION INST L & D 3",,,,,
,12,,1,,0,,,-1,,,"BC324R",,,,,,"Suture Scissors 5-3/4"" Str S/b",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"010",,,,"C-SECTION INST L & D 10",,,,,
,23,,1,,0,,,-1,,,"BD222R",,,,,,"Forceps Adson W/O Teeth",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"011",,,,"C-SECTION INST L & D 11",,,,,
,12,,1,,0,,,-1,,,"BC324R",,,,,,"Suture Scissors 5-3/4"" Str S/b",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EL&D005",,,,,,,,,,,"S/N:",,"002",,,,"HYSTERECTOMY RETRACTOR PAN 2 2",,,,,
,14,,2,,1,,,-1,,,"BT552R",,,,,,"Retr Harrington Large",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EL&D011",,,,,,,,,,,"S/N:",,"004",,,,"VAGINAL DELIVERY SET-UP 4",,,,,
,14,,2,,1,,,-1,,,"EL577R",,,,,,"Jackson Vag Speculum 7"" Concvd 76x38mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"006",,,,"VAGINAL DELIVERY SET-UP 6",,,,,
,14,,2,,1,,,-1,,,"EL577R",,,,,,"Jackson Vag Speculum 7"" Concvd 76x38mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"009",,,,"VAGINAL DELIVERY SET-UP 9",,,,,
,10,,1,,0,,,-1,,,"460620",,,,,,"Scissors Mayo Long Str",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"010",,,,"VAGINAL DELIVERY SET-UP 10",,,,,
,14,,2,,1,,,-1,,,"EL577R",,,,,,"Jackson Vag Speculum 7"" Concvd 76x38mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"013",,,,"VAGINAL DELIVERY SET-UP 13",,,,,
,14,,2,,0,,,-2,,,"EL577R",,,,,,"Jackson Vag Speculum 7"" Concvd 76x38mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"019",,,,"VAGINAL DELIVERY SET-UP 19",,,,,
,4,,4,,3,,,-1,,,"BH443R",,,,,,"Clamp Pean (Kelly) 6-1/4"" Cvd.",,,,,
,9,,1,,0,,,-1,,,"BC547R",,,,,,"Scissors Mayo Str 6-3/4""",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EORT007",,,,,,,,,,,"S/N:",,"002",,,,"A/O 4.0MM CANNULATED SCREW SET 2",,,,,
,27,,3,,2,,,-1,,,"207.628",,,,,,"Screw 28mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EORT008",,,,,,,,,,,"S/N:",,"001",,,,"A/O 4.5MM CANNULATED SCREW SET 1",,,,,
,54,,2,,1,,,-1,,,"214.730",,,,,,"Screw 30mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EORT014",,,,,,,,,,,"S/N:",,"001",,,,"A/O 7.0MM CANNULATED SCREW SET 1",,,,,
,33,,2,,1,,,-1,,,"209.080",,,,,,"Screw 80mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EORT019",,,,,,,,,,,"S/N:",,"001",,,,"A/O 7.3MM TI CANNULATED SCREW SET 1",,,,,
,47,,2,,1,,,-1,,,"408.840",,,,,,"Screw 40mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"002",,,,"A/O 7.3MM TI CANNULATED SCREW SET 2",,,,,
,43,,1,,0,,,-1,,,"409.930",,,,,,"Screw 130mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EORT021",,,,,,,,,,,"S/N:",,"001",,,,"A/O ADJUSTABLE LARGE EX/FIX 1",,,,,
,7,,1,,0,,,-1,,,"321.20",,,,,,"Wrench Ratchet 11mm",,,,,
,11,,2,,1,,,-1,,,"392.961",,,,,,"Fixator Adjustable Large",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EORT022",,,,,,,,,,,"S/N:",,"001",,,,"DR RAASCH'S A/O 4.5 NON TAPPING CORTICAL SCREWS 1",,,,,
,15,,4,,3,,,-1,,,"414.042",,,,,,"Screw Cortical 42mm Ti",,,,,
,30,,4,,3,,,-1,,,"419.99",,,,,,"Washers  13.0mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EORT027",,,,,,,,,,,"S/N:",,"001",,,,"A/O BROKEN SCREW REMOVAL 1",,,,,
,4,,1,,0,,,-1,,,"309.290",,,,,,"Bolt Extraction F/2.7mm Cort Screws",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EORT028",,,,,,,,,,,"S/N:",,"001",,,,"A/O CABLE SYSTEM 1",,,,,
,12,,1,,0,,,-1,,,"391.885",,,,,,"Forceps For Use W/ Cerclage Buttons & Pins",,,,,
,14,,1,,0,,,-1,,,"2741-80",,,,,,"Cable Cutter  Standard",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EORT029",,,,,,,,,,,"S/N:",,"001",,,,"A/O DCS IMPLANT 1",,,,,
,10,,1,,0,,,-1,,,"281.925",,,,,,"Plate Dcs 12 Hole",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EORT035",,,,,,,,,,,"S/N:",,"002",,,,"A/O EXFIX LARGE 2",,,,,
,7,,1,,0,,,-1,,,"393.79",,,,,,"Drill Sleeve",,,,,
,27,,2,,1,,,-1,,,"293.83",,,,,,"Steinmann Pin 4.5x250mm W/ctr Thrd",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"003",,,,"A/O EXFIX LARGE 3",,,,,
,8,,1,,0,,,-1,,,"394.16",,,,,,"Trocar",,,,,
,27,,2,,0,,,-2,,,"293.83",,,,,,"Steinmann Pin 4.5x250mm W/ctr Thrd",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EORT043",,,,,,,,,,,"S/N:",,"001",,,,"A/O FRAGMENT LARGE SCREW TITANIUM 1",,,,,
,71,,4,,2,,,-2,,,"417.070",,,,,,"Canc Screw Titn 6.5x70mm Thrd 32mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EORT044",,,,,,,,,,,"S/N:",,"004",,,,"A/O FRAGMENT LOCKING SMALL S.S. 4",,,,,
,201,,1,,0,,,-1,,,"511.773",,,,,,"Torque Limiting Attachment",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"005",,,,"A/O FRAGMENT LOCKING SMALL S.S. 5",,,,,
,8,,1,,0,,,-1,,,"391.82",,,,,,"Pliers Wire-Bending",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EORT046",,,,,,,,,,,"S/N:",,"001",,,,"A/O FRAGMENT MINI TITANIUM 1",,,,,
,54,,1,,0,,,-1,,,"442.04",,,,,,"Plate 4 Hole",,,,,
,77,,6,,4,,,-2,,,"402.024",,,,,,"Screw  2.7mm x 24mm",,,,,
,83,,8,,6,,,-2,,,"401.014",,,,,,"Mini Cort Screw Titn 2x14mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EORT047",,,,,,,,,,,"S/N:",,"001",,,,"A/O FRAGMENT SMALL NONLOCKING PLATES SS 1",,,,,
,25,,1,,0,,,-1,,,"241.25",,,,,,"Plate 5 Hole",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EORT048",,,,,,,,,,,"S/N:",,"001",,,,"A/O FRAGMENT SMALL TI 1",,,,,
,25,,1,,0,,,-1,,,"398.40",,,,,,"Forceps Reduction  5-1/4"" Narr W/pts W/lock",,,,,
,61,,1,,0,,,-1,,,"441.15",,,,,,"Plate 5 Hole Shaft  3 Hole Head",,,,,
,92,,6,,5,,,-1,,,"406.022",,,,,,"Canc Screw Titn Full Thread 4x22mm",,,,,
,131,,6,,5,,,-1,,,"419.98",,,,,,"Washers  7.0mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"EORT050",,,,,,,,,,,"S/N:",,"001",,,,"A/O LARGE FRAGMENT LOCKING PLATES 1",,,,,
,9,,1,,0,,,-1,,,"224.611",,,,,,"Plate 11 Hole",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
