,,,,,,,,,,,,,,,,,,,,,
,"Below target quantity",,,,,,,,,,,,,,,,,,,,
"BTRA001",,,,,,,,,,,"S/N:",,"002",,,,"TRACH TRAUMA  2",,,,
,25,,2,,1,,,-1,,,"BB073R",,,,,,"Handles Knife #3",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"BTRA002",,,,,,,,,,,"S/N:",,"003",,,,"MAJOR VASCULAR/TRAUMA 3",,,,
,16,,2,,1,,,-1,,,"37-1141",,,,,,"Clamp Debakey Aorta  10-1/2"" Cvd 85mm",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"CVICU002",,,,,,,,,,,"S/N:",,"001",,,,"CHEST SET CVICU 1",,,,
,16,,2,,0,,,-2,,,"510415",,,,,,"Crile Wood Needle Holder Tc 9""",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"CVICU017",,,,,,,,,,,"S/N:",,"003",,,,"CHEST/FEMORAL ACCESS 3",,,,
,14,,2,,1,,,-1,,,"BM035R",,,,,,"Debakey Needle Holder Tc 7"" Del Serr",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"ECANCTR010",,,,,,,,,,,"S/N:",,"001",,,,"TRACH EMERGENCY HOPE 1",,,,
,8,,1,,0,,,-1,,,"26-3861",,,,,,"Needle Holder Castro",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"ECLI008",,,,,,,,,,,"S/N:",,"002",,,,"VULVAR BIOPSY OB/GYN CLINIC 2",,,,
,7,,1,,0,,,-1,,,"BC324R",,,,,,"Suture Scissors 5-3/4"" Str S/b",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"ECLI015",,,,,,,,,,,"S/N:",,"001",,,,"STEREOTACTIC HEAD FRAME GAMMA KNIFE 1",,,,
,10,,6,,5,,,-1,,,"1003902",,,,,,"Screws Titanium for Posts 5 x 19",,,,
,11,,4,,3,,,-1,,,"1006473",,,,,,"Screw Front Piece Titanium M 4 x 10",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"002",,,,"STEREOTACTIC HEAD FRAME GAMMA KNIFE 2",,,,
,17,,2,,0,,,-2,,,"60136-01",,,,,,"Ear Bars",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"ECLI018",,,,,,,,,,,"S/N:",,"001",,,,"HYSTEROSCOPY SET OB/GYN CLINIC 1",,,,
,3,,1,,0,,,-1,,,"26159UHW",,,,,,"Forceps Semi-Rigid Biopsy Grasping W/Double Action Jaws",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"002",,,,"HYSTEROSCOPY SET OB/GYN CLINIC 2",,,,
,3,,1,,0,,,-1,,,"26159UHW",,,,,,"Forceps Semi-Rigid Biopsy Grasping W/Double Action Jaws",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"ECLI037",,,,,,,,,,,"S/N:",,"001",,,,"I R STRYKER ASNIS 6.5/8.0 SS ""C"" I R 1",,,,
,25,,6,,5,,,-1,,,"390016",,,,,,"Washer 13mm",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"EDERMCL001",,,,,,,,,,,"S/N:",,"002",,,,"EXCISION KIT DERM CLINIC 2",,,,
,6,,1,,0,,,-1,,,"7-32",,,,,,"Providence Hospital Clamp 5-1/2"" Cvd",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"EDERMCL002",,,,,,,,,,,"S/N:",,"001",,,,"FACE KIT DERM CLINIC 1",,,,
,2,,1,,0,,,-1,,,"6-120",,,,,,"Adson Tissue Forceps 4-3/4"" W/th Del",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"002",,,,"FACE KIT DERM CLINIC 2",,,,
,6,,1,,0,,,-1,,,"105-1107",,,,,,"Crile Cvd",,,,
,10,,1,,0,,,-1,,,"105-673SC",,,,,,"Sc Gradle Scissors 3-3/4"" S/s",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"EED004",,,,,,,,,,,"S/N:",,"001",,,,"THORACOTOMY TRAY 1",,,,
,11,,1,,0,,,-1,,,"23-8538",,,,,,"Clamp Satinsky",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"EGU022",,,,,,,,,,,"S/N:",,"001",,,,"JEWITTS SOUNDS STRAIGHT 1",,,,
,4,,1,,0,,,-1,,,"GU 4060-012",,,,,,"Jewitts Sounds 12 Fr.",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"002",,,,"JEWITTS SOUNDS STRAIGHT 2",,,,
,11,,1,,0,,,-1,,,"GU 4060-026",,,,,,"Jewitts Sounds 26 Fr.",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"EGU028",,,,,,,,,,,"S/N:",,"001",,,,"MAJOR VASCULAR GU 1",,,,
,12,,2,,1,,,-1,,,"FB450R",,,,,,"Debakey Patent Ductus Clamp 8-1/4"" Str",,,,
,13,,2,,1,,,-1,,,"FB451R",,,,,,"Debakey Patent Ductus Clamp 8-1/4"" Ang",,,,
,22,,1,,0,,,-1,,,"GF923R",,,,,,"Frazier Suction W/ Luer Hub 4"" 9fr",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"EGU029",,,,,,,,,,,"S/N:",,"002",,,,"LIGASURE APPLIERS 2",,,,
,5,,1,,0,,,-1,,,"LS2110",,,,,,"Right Angle",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"EGYN006",,,,,,,,,,,"S/N:",,"001",,,,"D&C 1",,,,
,52,,1,,0,,,-1,,,"212677",,,,,,"Hegar Dilator 7/8mm",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"002",,,,"D&C 2",,,,
,38,,1,,0,,,-1,,,"BD051R",,,,,,"Forceps Tissue Forceps 8"" Serr",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"007",,,,"D&C 7",,,,
,29,,1,,0,,,-1,,,"BM078R",,,,,,"Needle Holder Hegar TC 9-3/4"" Hvy Serr",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"EGYN011",,,,,,,,,,,"S/N:",,"002",,,,"DILATOR SINGLE END 1/2 SZ/GYN 2",,,,
,2,,1,,0,,,-1,,,"R28-710",,,,,,"1mm   Single - Ended Dilator",,,,
,4,,1,,0,,,-1,,,"R28-711",,,,,,"2mm   Single - Ended Dilator",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"EGYN016",,,,,,,,,,,"S/N:",,"003",,,,"HYSTEROSALPINGOGRAM 3",,,,
,7,,1,,0,,,-1,,,"ER 876 201",,,,,,"Cannula Acorn Cohn Eder Sm.",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"008",,,,"HYSTEROSALPINGOGRAM 8",,,,
,7,,1,,0,,,-1,,,"ER 876 201",,,,,,"Cannula Acorn Cohn Eder Sm.",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"EGYN030",,,,,,,,,,,"S/N:",,"002",,,,"ONCOLOGY/GYN 2",,,,
,24,,2,,1,,,-1,,,"BT207R",,,,,,"Vein Retractors 9-1/4"" 11mm",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"EGYN044",,,,,,,,,,,"S/N:",,"006",,,,"SCOPE CYSTO CIRCON 6",,,,
,9,,1,,0,,,-1,,,"E151",,,,,,"Albarran Deflecting Bridge  Dbl Horn",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"EGYN049",,,,,,,,,,,"S/N:",,"001",,,,"TVH PAN 1 1",,,,
,40,,2,,0,,,-2,,,"BM078R",,,,,,"Needle Holder Hegar TC 9-3/4"" Hvy Serr",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"005",,,,"TVH PAN 1 5",,,,
,47,,2,,1,,,-1,,,"BD562R",,,,,,"Standard Tissue Forceps 10"" W/th",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"EGYN050",,,,,,,,,,,"S/N:",,"006",,,,"TVH PAN 2 6",,,,
,4,,3,,2,,,-1,,,"GL350",,,,,,"Heaney Simon Retractor 10-1/2"" 115x25mm",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"EGYN077",,,,,,,,,,,"S/N:",,"001",,,,"MINOR GYN 1",,,,
,1,,1,,0,,,-1,,,"020654",,,,,,"Towel Clip Plastic ( blue or orange) not disposible",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"EGYN079",,,,,,,,,,,"S/N:",,"002",,,,"RETR BOOKWALTER CODMAN PAN 1/GYN 2",,,,
,13,,8,,7,,,-1,,,"C50-4580",,,,,,"Tilt Ratchet Mechanism",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"EL&D002",,,,,,,,,,,"S/N:",,"009",,,,"C-SECTION INST L & D 9",,,,
,22,,2,,1,,,-1,,,"BD577R",,,,,,"Forceps Tissue  5-3/4"" 2x3/th",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"010",,,,"C-SECTION INST L & D 10",,,,
,23,,1,,0,,,-1,,,"BD222R",,,,,,"Forceps Adson W/O Teeth",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"013",,,,"C-SECTION INST L & D 13",,,,
,12,,1,,0,,,-1,,,"BC324R",,,,,,"Suture Scissors 5-3/4"" Str S/b",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"EL&D005",,,,,,,,,,,"S/N:",,"002",,,,"HYSTERECTOMY RETRACTOR PAN 2 2",,,,
,14,,2,,1,,,-1,,,"BT552R",,,,,,"Retr Harrington Large",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"EL&D011",,,,,,,,,,,"S/N:",,"001",,,,"VAGINAL DELIVERY SET-UP 1",,,,
,15,,1,,0,,,-1,,,"BD559R",,,,,,"Forceps  Tissue With Teeth",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"004",,,,"VAGINAL DELIVERY SET-UP 4",,,,
,14,,2,,1,,,-1,,,"EL577R",,,,,,"Jackson Vag Speculum 7"" Concvd 76x38mm",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"006",,,,"VAGINAL DELIVERY SET-UP 6",,,,
,14,,2,,1,,,-1,,,"EL577R",,,,,,"Jackson Vag Speculum 7"" Concvd 76x38mm",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"012",,,,"VAGINAL DELIVERY SET-UP 12",,,,
,10,,1,,0,,,-1,,,"460620",,,,,,"Scissors Mayo Long Str",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"013",,,,"VAGINAL DELIVERY SET-UP 13",,,,
,10,,1,,0,,,-1,,,"460620",,,,,,"Scissors Mayo Long Str",,,,
,14,,2,,0,,,-2,,,"EL577R",,,,,,"Jackson Vag Speculum 7"" Concvd 76x38mm",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"016",,,,"VAGINAL DELIVERY SET-UP 16",,,,
,14,,2,,1,,,-1,,,"EL577R",,,,,,"Jackson Vag Speculum 7"" Concvd 76x38mm",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"EORT007",,,,,,,,,,,"S/N:",,"002",,,,"A/O 4.0MM CANNULATED SCREW SET 2",,,,
,27,,3,,2,,,-1,,,"207.628",,,,,,"Screw 28mm",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"EORT008",,,,,,,,,,,"S/N:",,"001",,,,"A/O 4.5MM CANNULATED SCREW SET 1",,,,
,54,,2,,1,,,-1,,,"214.730",,,,,,"Screw 30mm",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"EORT009",,,,,,,,,,,"S/N:",,"001",,,,"A/O 4.5MM CURVED BROAD LCP LOCKING PLATES 1",,,,
,3,,1,,0,,,-1,,,"226.632",,,,,,"Plate 13 Hole",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"EORT014",,,,,,,,,,,"S/N:",,"001",,,,"A/O 7.0MM CANNULATED SCREW SET 1",,,,
,6,,1,,0,,,-1,,,"319.31",,,,,,"Trocar 2.0mm",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"EORT017",,,,,,,,,,,"S/N:",,"001",,,,"A/O 7.3MM SS CANNULATED SCREW SET 1",,,,
,39,,2,,1,,,-1,,,"208.900",,,,,,"Screw 100mm",,,,
,52,,2,,1,,,-1,,,"209.875",,,,,,"Screw 75mm",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"EORT019",,,,,,,,,,,"S/N:",,"001",,,,"A/O 7.3MM TI CANNULATED SCREW SET 1",,,,
,47,,2,,1,,,-1,,,"408.840",,,,,,"Screw 40mm",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"002",,,,"A/O 7.3MM TI CANNULATED SCREW SET 2",,,,
,43,,1,,0,,,-1,,,"409.930",,,,,,"Screw 130mm",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"EORT021",,,,,,,,,,,"S/N:",,"001",,,,"A/O ADJUSTABLE LARGE EX/FIX 1",,,,
,7,,1,,0,,,-1,,,"321.20",,,,,,"Wrench Ratchet 11mm",,,,
,11,,2,,1,,,-1,,,"392.961",,,,,,"Fixator Adjustable Large",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"EORT022",,,,,,,,,,,"S/N:",,"001",,,,"DR RAASCH'S A/O 4.5 NON TAPPING CORTICAL SCREWS 1",,,,
,15,,4,,3,,,-1,,,"414.042",,,,,,"Screw Cortical 42mm Ti",,,,
,30,,4,,3,,,-1,,,"419.99",,,,,,"Washers  13.0mm",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"EORT027",,,,,,,,,,,"S/N:",,"001",,,,"A/O BROKEN SCREW REMOVAL 1",,,,
,4,,1,,0,,,-1,,,"309.290",,,,,,"Bolt Extraction F/2.7mm Cort Screws",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"EORT029",,,,,,,,,,,"S/N:",,"001",,,,"A/O DCS IMPLANT 1",,,,
,10,,1,,0,,,-1,,,"281.925",,,,,,"Plate Dcs 12 Hole",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"EORT035",,,,,,,,,,,"S/N:",,"002",,,,"A/O EXFIX LARGE 2",,,,
,7,,1,,0,,,-1,,,"393.79",,,,,,"Drill Sleeve",,,,
,27,,2,,1,,,-1,,,"293.83",,,,,,"Steinmann Pin 4.5x250mm W/ctr Thrd",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"003",,,,"A/O EXFIX LARGE 3",,,,
,8,,1,,0,,,-1,,,"394.16",,,,,,"Trocar",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
